Channel0	Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	Channel9	Channel10	Channel11	Channel12	Channel13	Channel14	Channel15	Channel16	Channel17	Channel18	Channel19
4.357715884717102556e-02	2.114223300533523142e-01	1.065232775215076533e+00	1.569032961860374220e+00	2.167023122177384048e-02	3.681943917294824842e-02	9.938019517504236011e-02	1.090198494958233288e+00	1.085767722818771652e+00	3.735636570546721491e-02	5.698641485105866017e-03	1.049677577642882803e-01	3.843770110062667139e-02	1.981083966116553130e+00	2.376545590366829427e-02	2.405887796730041966e-02	1.941351590199170973e-02	1.092022545164835545e+00	5.711754456060699758e-02	1.956752680225959384e+00
3.996290572079175263e-02	1.079944097837657102e+00	2.078391205322491775e-01	1.651774733722751951e-02	3.154109710778348064e-03	1.109431089154815919e-01	1.958442184344904691e+00	8.328465997869308191e-02	1.079739674538419125e+00	1.483178844766336671e-02	1.969471440689199992e+00	5.216680466000304245e-02	1.965005884767377697e+00	1.072608547330521356e+00	1.237348626246831396e-02	1.952149699014184892e+00	1.114933498952776769e-01	1.064514358917005410e+00	3.839045435448435600e-02	1.562627743364062072e+00
4.778584897061009112e-02	1.078113029923154054e+00	1.084369683930355599e+00	2.962899988519853214e-02	1.560398267610734781e-02	2.712700439915763373e-02	6.309740906850939968e-02	1.074342377649133207e+00	2.081579688992905575e-01	7.623943430547033134e-03	2.140773951482339010e-01	1.290006509689424208e-01	3.885589841781926512e-02	1.077240359749045862e+00	0.000000000000000000e+00	1.121350013719898120e-01	9.660062066144201737e-03	1.075960109244167739e+00	1.267617958350815421e-01	1.075082291341269647e+00
1.979886183956791612e+00	1.014429212329867047e-01	1.078528224078883213e-01	1.580590163751516286e+00	1.973387086771462462e+00	2.190322748530364183e-01	1.974669540764654840e+00	1.578249975278511963e+00	1.017859197645348476e-02	2.070499839967596678e-01	1.595124687469054559e+00	1.125357874536895286e-01	3.750078708273619360e-02	9.831539610147332908e-02	7.988465424950819127e-02	1.078917994808583636e+00	1.281982618492491510e-02	1.960030825907174368e+00	5.586309656480185210e-02	1.574894700405945258e+00
3.048663315782231334e-02	1.075926758856119880e+00	1.078679381572546170e+00	1.734452018679465829e-02	1.976464510667521809e-02	2.686014745611346038e-02	5.904891896198124351e-02	1.076715242365799519e+00	2.086273073382961529e-01	2.710314836668011040e-02	2.175677321130254915e-01	1.087055142446815698e-01	4.032236486063535408e-02	1.090202681305809218e+00	2.238056082301173866e-01	1.819190170184420419e-03	2.159640135229418806e-03	1.080384719341757505e+00	1.227600613825909764e-01	1.078741367328906131e+00
1.569866094701951320e-01	3.414707725362129201e-03	1.974239015550510457e-01	1.575097780763599742e+00	3.818304143674944306e-02	5.945712836314491316e-03	7.117695472680420077e-02	9.998583389264339427e-01	1.586560031216991629e+00	2.078599526902266126e-01	1.395195175055566165e-02	1.418925260941777608e-02	2.242869141209679479e-02	2.136990658438658874e-01	4.317849238702091419e-02	1.494444556791585388e+00	0.000000000000000000e+00	1.092820921748417273e+00	3.228154060597655806e-02	1.253143095048633686e-02
1.046689292671559413e+00	1.265991680636699770e-02	3.108702915725724061e-03	1.600923209568303696e+00	1.978376506254398093e+00	4.840257475487682454e-02	9.294456405359672463e-03	9.999006801814407097e-02	0.000000000000000000e+00	1.565855259846499425e+00	1.572798241721934165e+00	1.021031516116795504e-02	3.753182579938669355e-02	1.131752724945582350e-01	9.539228228610627247e-02	1.578291545159922427e+00	1.204574413232776219e-02	1.936686312761450868e+00	4.996325223483225053e-02	2.211374330629368307e-02
1.850486830035318747e-02	1.082260235563592188e+00	2.024503842472741011e-01	1.531174252489732497e-02	0.000000000000000000e+00	1.110893053480218606e-01	1.956890233008202529e+00	5.209022904433171369e-02	1.081511097768911522e+00	1.532084288088338998e-02	1.965317420590903641e+00	4.937329649910043167e-02	1.959224228018649594e+00	1.084464290249945950e+00	1.040992082393138278e-02	1.952654185262121089e+00	1.001454531309490664e-01	1.080320113926044989e+00	3.723203471484391042e-02	1.563895608281547611e+00
1.980822535094487025e+00	1.095831955006889569e-01	1.070319501396170409e-01	1.579410768604339488e+00	2.045426835355208528e+00	2.208701514417739653e-01	1.969171748562378088e+00	1.573953846299807058e+00	2.657260146737778356e-02	2.112349203067649117e-01	1.587130891162264357e+00	1.117873135319500388e-01	3.191306095144622740e-02	7.991508603721166060e-02	1.184863195077048431e-01	1.083230988764372293e+00	1.180146856502719589e-02	1.959503840794047713e+00	6.907919069675662327e-02	1.573450051048044029e+00
5.718910396306689514e-02	1.084607257045385520e+00	2.045305968873241398e-01	1.464324169582341233e-02	0.000000000000000000e+00	1.127644672239965506e-01	1.959787930686511137e+00	5.588628067533004534e-02	1.078313714072825835e+00	1.023853725611825055e-02	1.952119748214835360e+00	6.137025542342109535e-02	1.972576435045266141e+00	1.071160169913069504e+00	1.381579160470933383e-02	1.950817213612136891e+00	1.074334232154904589e-01	1.052308512235417881e+00	3.539427414043774117e-02	1.555591224644493842e+00
1.981631208924043097e+00	1.209889986028174907e-01	1.085235055547083272e-01	1.578703598978282940e+00	1.800583781882630907e+00	2.164321393995789211e-01	1.970585711603513923e+00	1.565315678012608513e+00	2.310996324889861425e-02	2.112043185523389266e-01	1.579594575091371578e+00	1.133276486403638761e-01	3.260633764825536518e-02	1.024705703207521440e-01	1.391789939772060669e-01	1.080548342495085690e+00	1.220016083267129285e-02	1.956259761903748506e+00	6.102859471287972598e-02	1.577025994307708290e+00
1.977654881442347579e+00	1.025575418445712761e-01	9.862632517038086299e-02	1.580481522726467469e+00	2.074341225629053653e+00	2.176738084741710044e-01	1.970334784989770105e+00	1.556611645043001202e+00	2.750386004454418581e-02	2.110103578839606919e-01	1.587063582780511739e+00	1.134300656172004679e-01	3.792890085384756360e-02	8.483585936221421653e-02	8.231484044773527964e-02	1.079189419599583477e+00	1.222816803568781141e-02	1.960955009971493190e+00	5.773689176199040679e-02	1.575121950568803664e+00
4.210986187989667479e-02	2.019336972920981188e-01	1.058343886271605028e+00	1.566670599390235896e+00	2.308625084735191346e-02	4.475339261675424091e-02	2.824901898655093890e-02	1.091388472909573082e+00	1.079378544608978308e+00	4.329020910928890742e-02	6.790714948485000388e-03	1.062055034564935024e-01	4.063783882377723644e-02	1.972914179777591537e+00	3.522946112822606529e-02	1.365550994269863587e-02	3.369006880398892761e-02	1.082169775279695045e+00	4.984803073691428110e-02	1.956766917697820407e+00
4.180977457010894016e-02	2.022755882532451255e-01	1.072521171711748877e+00	1.569176945068579077e+00	3.218414055135501717e-02	7.010248903005014687e-03	5.945401562351130403e-02	1.091605443391687302e+00	1.088810450920954187e+00	3.646499115487863291e-02	1.030013360462070197e-02	1.048745841809591850e-01	4.037813365021512835e-02	1.970424280751108981e+00	5.977717076592831136e-02	2.473404158131004352e-02	1.913803265252574798e-02	1.084733272048552077e+00	4.525803206489103364e-02	1.954690436196781400e+00
2.468809641092245197e-02	1.081107913230419548e+00	2.058808582027534806e-01	2.073861666806127088e-02	0.000000000000000000e+00	1.083997297582535990e-01	1.955701381411756978e+00	1.410056119131252172e-01	1.083267224005809881e+00	1.308256947635841674e-02	1.977448274737282352e+00	3.478984463581706599e-02	1.962275337023559940e+00	1.081210721471297598e+00	1.295421043709872079e-02	1.955817770153198243e+00	1.002002825943157927e-01	1.073970432071994718e+00	4.049366233456823394e-02	1.573833729145535099e+00
6.981722807206186543e-02	1.064456626665011063e+00	1.085619838684852789e+00	1.885050874172761876e-02	1.721326932351871161e-02	2.923036599404123595e-02	6.042059316187935875e-02	1.075509561637432610e+00	2.058139940230690190e-01	2.319668305516778273e-02	2.124207249799541231e-01	1.311045658088264565e-01	4.264174766236014658e-02	1.079683670558090558e+00	2.809261681220430740e-01	4.095002876464957919e-02	7.865653519105220842e-03	1.074466704359220870e+00	1.213712089001002248e-01	1.085395059791510297e+00
4.470620119431812506e-02	4.499989495645961846e-02	6.557961314504948298e-03	2.130673571041990788e-01	1.984576525547824710e+00	2.264976256892734241e-01	1.967020562859770783e+00	1.573920890066409894e+00	1.167990698859973919e-01	1.571233567856094693e+00	1.583585895882668737e+00	9.013330984907494403e-02	6.300535920213391761e-02	1.264332215201225129e-01	2.448601784619435645e-02	2.051892730347406602e-01	4.672461610068102261e-02	1.584028010713389056e+00	5.941185621623920610e-02	0.000000000000000000e+00
4.798436140516208065e-02	1.066315666496296721e+00	1.074940664225909170e+00	2.645134464952285033e-02	2.542616146707486757e-02	2.562493678755177126e-02	5.613959312232910670e-02	1.081395903851024576e+00	2.109662333337027629e-01	3.586687289628577580e-02	2.175751655246222771e-01	1.017399205664765161e-01	4.385323080476476176e-02	1.098778038220149522e+00	8.297047023305020863e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.084968722391198792e+00	1.185871547303251616e-01	1.078768242406838329e+00
1.622096373384504520e-02	1.083917444281585096e+00	2.068575958137145732e-01	2.051380804503112609e-02	0.000000000000000000e+00	9.451150298348968970e-02	1.957511481425867839e+00	1.997285974191543023e-01	1.084277544226814216e+00	6.822748747004823457e-03	1.979882563667043849e+00	3.629854657278230867e-02	1.956603530749443598e+00	1.066677947195397991e+00	1.497070082959851486e-02	1.961679889119291476e+00	1.046845936559073487e-01	1.094476471420604557e+00	4.252238524524747793e-02	1.579509188344738302e+00
1.979810407560552044e+00	1.020370723689738718e-01	1.111809203015916153e-01	1.584242352272343002e+00	1.783581966988731615e+00	2.155123530999181469e-01	1.971837642649027611e+00	1.588299281773897897e+00	7.688823194840911646e-03	2.078388327704104865e-01	1.590940840368197717e+00	1.164858324834549264e-01	4.010741724863223223e-02	1.144759661200448059e-01	8.997328078762738268e-02	1.080018740671655930e+00	1.165941161549349618e-02	1.958041629528876948e+00	5.546257165614879026e-02	1.577021394743766569e+00
1.948204488738429552e+00	1.273487523422019672e-02	1.309498603317507393e-01	1.577386140050127450e+00	4.252291466064735820e-02	2.734155976689343209e-02	1.906978402042550785e-02	1.099125505289983568e-02	7.343677677033635942e-02	1.970091191263128927e+00	1.146929828398115525e-01	2.058951895057056225e-01	2.516913293135415210e-03	2.330515814838693064e-02	1.374275689902807185e-01	1.977367384257956662e+00	7.437743054937162590e-03	1.978179148396738807e+00	5.170470701006964903e-02	1.337023334789689925e-02
5.258424964692432618e-02	5.024060297226888572e-02	0.000000000000000000e+00	2.096053774650891988e-01	1.964609193819283561e+00	2.237142878698918091e-01	1.971350562332243594e+00	1.580943697620532662e+00	1.181731102375884190e-01	1.569850348799073592e+00	1.591144835233068155e+00	1.662278476410252726e-01	6.013830516903347079e-02	1.264764121615999104e-01	6.766379134057320943e-02	2.120235817039917980e-01	3.850264873799048165e-02	1.575546513567933626e+00	6.344481849453874334e-02	2.757280364160117399e-03
3.508105230714466533e-02	1.082626477320590030e+00	2.050107963858681104e-01	1.039145311642472938e-02	0.000000000000000000e+00	1.101908283131476374e-01	1.961231442576662598e+00	1.064640260467359656e-01	1.075267080734076286e+00	7.815439184194779634e-03	1.970671875017176111e+00	7.136711541926155089e-02	1.963599713731078333e+00	1.084110094259040924e+00	1.498757524156312318e-02	1.960596438506820860e+00	1.124369581747540897e-01	1.081881409050625686e+00	3.817750250644177945e-02	1.565220006706178335e+00
1.982790013818914954e+00	1.081269697931574875e-01	1.069872346894762405e-01	1.581888603338743815e+00	1.843559588877442090e+00	2.156019613048777706e-01	1.976179994809985629e+00	1.565925915238594701e+00	2.501394186025710648e-02	2.024506499783264024e-01	1.586861292994446782e+00	1.079023530398472708e-01	2.536957270078859378e-02	9.017324817142992333e-02	0.000000000000000000e+00	1.076315922879141018e+00	1.540681829752585559e-02	1.965189427310386927e+00	6.029052830298187865e-02	1.575135740224459679e+00
5.213578605879840011e-02	1.062602838378104320e+00	1.079873113232218795e+00	1.965024169967080972e-02	2.359880389621471508e-02	2.669079500382640427e-02	5.602687207188042362e-02	1.081064413487998532e+00	2.073209664641122441e-01	4.257563108499193283e-02	2.180551912253859692e-01	1.141867559569714474e-01	4.625517670970579615e-02	1.096244444531031315e+00	8.942964336917997858e-01	0.000000000000000000e+00	0.000000000000000000e+00	1.081066798227446002e+00	1.161220641515918195e-01	1.089343480462386715e+00
1.070689134603539427e+00	8.864255510487362155e-03	8.761683706063356364e-03	1.578815582274520679e+00	1.976094330950597611e+00	4.478835528776361347e-02	1.786721408997068994e-02	1.106917616870256443e-01	8.286184452810384932e-03	1.563976846563804424e+00	1.571450200019920862e+00	8.559852215635578576e-03	3.107303066922395204e-02	1.154114455184845206e-01	1.044457205978781694e-01	1.587882154485153796e+00	1.908002281603475569e-02	1.951274382820087361e+00	5.065956008171237923e-02	3.928354943086816153e-02
1.981213942272145090e+00	1.054105180840077954e-01	1.027671830900765554e-01	1.583936555272643876e+00	1.870724352649798750e+00	2.221008516097689456e-01	1.970461946520760899e+00	1.574805559902659358e+00	1.961868434998743221e-02	2.091414930176452858e-01	1.588026240514236909e+00	1.159600879037288174e-01	4.575807881326350579e-02	1.317529039782610045e-01	1.475001237064187121e-01	1.082217553103083763e+00	1.044494588074771149e-02	1.957462949916688455e+00	5.571833713500811552e-02	1.577426314638918470e+00
1.985516470351029517e+00	1.031748733987212785e-01	1.093967476587307530e-01	1.583341468797480500e+00	1.952688745066141651e+00	2.221640659245080751e-01	1.970730371298268890e+00	1.587692170767604161e+00	7.309470319562080126e-03	2.101997093945751349e-01	1.586151304882627011e+00	1.118145926321104516e-01	3.406535248441640990e-02	1.179374068057441882e-01	1.139249552164639245e-01	1.083767594793139555e+00	1.190401250576210955e-02	1.957398599641767545e+00	6.431045567811236041e-02	1.573745599248698834e+00
1.988899881812870252e+00	1.147310151659746286e-01	1.078291888017954281e-01	1.584753236310930014e+00	1.829939953287220256e+00	2.200720844625433381e-01	1.974723015932148273e+00	1.592820129775296634e+00	1.161718523617785020e-02	2.038081375949338803e-01	1.584711231672475407e+00	1.094906963342160422e-01	4.173398032136022701e-02	1.454572592387945729e-01	9.221232089390538067e-02	1.080525503010500543e+00	1.271888355514837719e-02	1.959337842166030796e+00	5.976457162740970303e-02	1.576130932309377064e+00
1.977207722325240447e+00	1.095106192860497429e-01	1.077571577515631096e-01	1.579920778576254792e+00	1.775223798979469247e+00	2.221723006148993429e-01	1.966472538031026618e+00	1.586062024894194789e+00	1.741394146143160696e-02	2.183101054371592298e-01	1.580016149829499339e+00	1.207640267874365292e-01	4.009949453785231765e-02	1.416726028130914916e-01	2.511857024724185039e-01	1.088536606046877742e+00	8.890064153578814202e-03	1.949122578463671207e+00	5.662683557634467374e-02	1.579669000369507970e+00
1.976839695465092417e+00	1.194215856751715543e-01	1.132706298816759521e-01	1.579935419907717575e+00	2.021228888309401395e+00	2.183202174599310208e-01	1.969128129833963348e+00	1.597188773782306503e+00	1.904472506942710142e-02	2.114342739796810922e-01	1.584682624585444621e+00	1.160924912240822865e-01	3.844697683875578781e-02	1.402862538599981557e-01	1.682282790333399780e-01	1.084125914617681818e+00	9.786866747293548191e-03	1.953033021328838714e+00	5.772430983057702525e-02	1.579322967471356032e+00
1.975400528987640847e+00	1.036744107129300846e-01	1.085957226760326244e-01	1.579920623691700055e+00	1.887111389739966505e+00	2.104602917868173828e-01	1.973548694455046881e+00	1.561380276981969351e+00	2.313062948743254549e-02	2.062434546800848700e-01	1.591468131878162051e+00	1.155007036309031176e-01	3.258877710677007128e-02	1.189186369973818380e-01	3.441924355226091969e-02	1.073333232982877972e+00	1.459969658008604572e-02	1.962949626680317028e+00	5.063804469044866363e-02	1.578721875640410000e+00
1.983889958206642712e+00	1.172586751058015131e-01	1.074339276273182098e-01	1.581459500902614890e+00	2.016526774570409852e+00	2.196671869733224092e-01	1.970451247221319813e+00	1.584682608412057547e+00	1.397567892638488379e-02	2.113216125670167034e-01	1.581605808143807357e+00	1.115629604139282555e-01	3.732644854095367587e-02	1.143539844892436236e-01	1.656915526442462872e-01	1.083325052439651159e+00	1.078420131084114122e-02	1.956797209641451207e+00	6.105596007504480310e-02	1.575502723877114875e+00
1.973053400355081255e+00	1.238097593673693347e-01	1.067341657608595340e-01	1.579795409245163151e+00	1.807165093093696440e+00	2.149121444176896045e-01	1.967479117066757821e+00	1.566233674748005900e+00	2.425938243475814216e-02	2.109309771295530822e-01	1.583467687003847324e+00	1.203334903417998536e-01	3.460701158577440817e-02	1.508007739107174727e-01	1.495449987940034864e-01	1.081360794658140945e+00	1.149030255847803723e-02	1.957827437319002328e+00	5.560746607315852907e-02	1.579788047203523726e+00
9.199529477378388942e-02	1.075193103120789528e+00	2.097650863928766374e-01	6.263299988848763239e-03	3.551309554764056631e-03	1.125748596912144739e-01	1.963451193213141321e+00	1.475214154129421695e-01	1.072125423872517302e+00	1.370508574726172525e-02	1.961650972866774145e+00	7.528167111022683600e-02	1.980111773594086744e+00	1.087053892032321167e+00	1.870359532724989726e-02	1.955302678625374879e+00	1.114318112300078240e-01	1.069614913072165940e+00	4.085919684878698555e-02	1.583613484718483511e+00
1.986022439950075880e+00	1.233365266644139285e-01	1.057959171951703553e-01	1.583306399547378840e+00	1.911466211859699449e+00	2.195733289908919361e-01	1.970891383850053913e+00	1.560187097858469985e+00	3.233557894243194175e-02	2.092851147092226194e-01	1.585101495311256548e+00	1.113089472695652365e-01	2.468760305226373047e-02	1.327324466346642695e-01	9.250974802725624169e-02	1.082562106092469056e+00	1.262009027329901931e-02	1.959560593062281919e+00	6.272786865395559019e-02	1.573341884920779199e+00
4.895842247826152904e-02	1.077989772191508822e+00	2.084177662822198629e-01	1.038683115697745796e-02	2.000857627162420504e-03	1.062916645375629326e-01	1.961017962672977122e+00	1.014631555806758678e-01	1.076934876982767575e+00	1.095180741076906550e-02	1.961378819385159789e+00	6.245957189093633011e-02	1.972440899591931807e+00	1.081193747782818848e+00	1.759270704326956758e-02	1.955833420569912162e+00	1.120510412305116832e-01	1.067130272574941197e+00	4.222978301681552110e-02	1.576397140376265327e+00
1.980463951159895153e+00	8.881676231419617651e-02	1.012063865846656308e-01	1.583581470798826718e+00	2.093544139061352283e+00	2.210015746766275102e-01	1.970544547598660934e+00	1.550950742065866139e+00	1.919181422391043682e-02	2.094204441137670902e-01	1.585680340068507110e+00	1.162634022387388361e-01	3.271713167555432428e-02	1.077310577317567852e-01	1.307648698596696191e-01	1.079263150724914633e+00	1.222762508731743691e-02	1.961051961339649319e+00	5.361161401790070363e-02	1.575615328676277294e+00
2.424290489262900805e-02	1.085739576673842022e+00	1.079925533739104271e+00	2.023561085833653836e-02	1.729174829336736427e-02	2.422936971307907209e-02	6.055373628832411148e-02	1.074791005736394744e+00	2.091110804627611397e-01	1.915663464252169088e-02	2.146385743535335067e-01	1.128109432847731186e-01	3.790465988256502133e-02	1.078295445005967412e+00	0.000000000000000000e+00	2.605543554158032404e-02	5.285576046100535011e-03	1.078981908326333672e+00	1.248695248742632269e-01	1.073963693889255389e+00
